1.

POKEMON_NAME             HEIGHT     WEIGHT
-------------------- ---------- ----------
フシギバナ                    2        100
リザードン                  1.7       90.5
カメックス                  1.6       85.5
ピジョット                  1.5       39.5
ピジョン                    1.1         30
バタフリー                  1.1         32
リザード                    1.1         19
フシギソウ                    1         13
カメール                      1       22.5
スピアー                      1       29.5
トランセル                   .7        9.9

POKEMON_NAME             HEIGHT     WEIGHT
-------------------- ---------- ----------
フシギダネ                   .7        6.9
ラッタ                       .7       18.5
ヒトカゲ                     .6        8.5
コクーン                     .6         10
ゼニガメ                     .5          9
コラッタ                     .3        3.5
ポッポ                       .3        1.8
ビードル                     .3        3.2
キャタピー                   .3        2.9

20行が選択されました。 

2.

POKEMON_NAME             HEIGHT     WEIGHT
-------------------- ---------- ----------
ヤドキング                                
ハピナス                                  
ハガネール                                
カビゴン                    2.1        460
ゴローニャ                  1.4        300
ギャラドス                  6.5        235
ラプラス                    2.5        220
イワーク                    8.8        210
カイリュー                  2.2        210
ウインディ                  1.9        155
パルシェン                  1.5      132.5

POKEMON_NAME             HEIGHT     WEIGHT
-------------------- ---------- ----------
カイリキー                  1.6        130
ミュウツー                    2        122
サイドン                    1.9        120
ナッシー                      2        120
ジュゴン                    1.7        120
サイホーン                    1        115
ゴローン                      1        105
フシギバナ                    2        100
ギャロップ                  1.7         95
リザードン                  1.7       90.5
パウワウ                    1.1         90

POKEMON_NAME             HEIGHT     WEIGHT
-------------------- ---------- ----------
ケンタロス                  1.4       88.4
カメックス                  1.6       85.5
ドードリオ                  1.8       85.2
ガルーラ                    2.2         80
スターミー                  1.1         80
ヤドラン                    1.6       78.5
ゴルダック                  1.7       76.6
スリーパー                  1.6       75.6
ゴーリキー                  1.5       70.5
マルマイン                  1.2       66.6
ベロリンガ                  1.2       65.5

POKEMON_NAME             HEIGHT     WEIGHT
-------------------- ---------- ----------
アーボック                  3.5         65
ニドキング                  1.4         62
キングラー                  1.3         60
ファイヤー                    2         60
レアコイル                    1         60
ニドクイン                  1.3         60
プテラ                      1.8         59
ユンゲラー                  1.3       56.5
ストライク                  1.5         56
フリーザー                  1.7       55.4
カイロス                    1.5         55

POKEMON_NAME             HEIGHT     WEIGHT
-------------------- ---------- ----------
ドククラゲ                  1.6         55
ゴルバット                  1.6         55
バリヤード                  1.3       54.5
ニョロボン                  1.3         54
