1.

  RECORDNO TERM                  STUDENTNO SUBJECTNAME           SCORE
---------- -------------------- ---------- ---------------- ----------
       246 2学期期末                    16 英語                     80
       247 2学期期末                    17 英語                     54
       248 2学期期末                    18 英語                     58
       249 2学期期末                    19 英語                     87
       250 2学期期末                    20 英語                     76
       251 2学期期末                    21 英語                     94
       252 2学期期末                    22 英語                     64
       253 2学期期末                    23 英語                     79
       254 2学期期末                     1 数学                     90
       255 2学期期末                     2 数学                     89
       256 2学期期末                     3 数学                     70

  RECORDNO TERM                  STUDENTNO SUBJECTNAME           SCORE
---------- -------------------- ---------- ---------------- ----------
       257 2学期期末                     4 数学                     74
       258 2学期期末                     5 数学                     26
       259 2学期期末                     6 数学                     79
       260 2学期期末                     7 数学                     62
       261 2学期期末                     8 数学                     60
       262 2学期期末                     9 数学                     70
       263 2学期期末                    10 数学                     78
       264 2学期期末                    11 数学                     78
       265 2学期期末                    12 数学                     87
       266 2学期期末                    13 数学                     94
       267 2学期期末                    14 数学                     80

  RECORDNO TERM                  STUDENTNO SUBJECTNAME           SCORE
---------- -------------------- ---------- ---------------- ----------
       268 2学期期末                    15 数学                     88
       269 2学期期末                    16 数学                     82
       270 2学期期末                    17 数学                     87
       271 2学期期末                    18                            
       272 2学期期末                    19 数学                     89
       273 2学期期末                    20 数学                     90
       274 2学期期末                    21 数学                     74
       275 2学期期末                    22 数学                     80
       276 2学期期末                    23 数学                     91
       277 学年末                        1 国語                     86
       278 学年末                        2 国語                     96

  RECORDNO TERM                  STUDENTNO SUBJECTNAME           SCORE
---------- -------------------- ---------- ---------------- ----------
       279 学年末                        3                            
       280 学年末                        4 国語                    100
       281 学年末                        5 国語                     97
       282 学年末                        6 国語                     84
       283 学年末                        7 国語                     83
       284 学年末                        8 国語                     34
       285 学年末                        9 国語                     96
       286 学年末                       10 国語                     93
       287 学年末                       11 国語                     83
       288 学年末                       12 国語                     73
       289 学年末                       13 国語                     98

  RECORDNO TERM                  STUDENTNO SUBJECTNAME           SCORE
---------- -------------------- ---------- ---------------- ----------
       290 学年末                       14 国語                     90
       291 学年末                       15 国語                     46
       292 学年末                       16 国語                     93
       293 学年末                       17 国語                     91
       294 学年末                       18 国語                     82
       295 学年末                       19 国語                     67
       296 学年末                       20 国語                     67
       297 学年末                       21 国語                     79
       298 学年末                       22 国語                     66
       299 学年末                       23 国語                     96
       300 学年末                        1 英語                     50

  RECORDNO TERM                  STUDENTNO SUBJECTNAME           SCORE
---------- -------------------- ---------- ---------------- ----------
       301 学年末                        2 英語                     96
       302 学年末                        3 英語                     95
       303 学年末                        4 英語                     95
       304 学年末                        5 英語                     64
       305 学年末                        6 英語                    100
       306 学年末                        7 英語                     96
       307 学年末                        8 英語                     79
       308 学年末                        9 英語                     97
       309 学年末                       10 英語                     82
       310 学年末                       11 英語                     92
       311 学年末                       12 英語                     90

  RECORDNO TERM                  STUDENTNO SUBJECTNAME           SCORE
---------- -------------------- ---------- ---------------- ----------
       312 学年末                       13 英語                     91
       313 学年末                       14 英語                     89
       314 学年末                       15 英語                     83
       315 学年末                       16 英語                     94
       316 学年末                       17 英語                     69
       317 学年末                       18 英語                     79
       318 学年末                       19 英語                     80
       319 学年末                       20 英語                     86
       320 学年末                       21 英語                     62
       321 学年末                       22 英語                     94
       322 学年末                       23 英語                     88

  RECORDNO TERM                  STUDENTNO SUBJECTNAME           SCORE
---------- -------------------- ---------- ---------------- ----------
       323 学年末                        1 数学                     83
       324 学年末                        2 数学                     65
       325 学年末                        3 数学                     61
       326 学年末                        4 数学                     88
       327 学年末                        5 数学                     70
       328 学年末                        6 数学                     94
       329 学年末                        7 数学                     72
       330 学年末                        8 数学                     81
       331 学年末                        9 数学                     88
       332 学年末                       10 数学                     85
       333 学年末                       11 数学                     66

  RECORDNO TERM                  STUDENTNO SUBJECTNAME           SCORE
---------- -------------------- ---------- ---------------- ----------
       334 学年末                       12 数学                     73
